Name,Director,Actors   ,As a Phrase,Includes,Excludes,Hashtags,General Limitation,Note
The DUFF,No,No,Yes,,Hilary , #TheDUF,Add items either  movie or film or see or saw or watch or revire or show or in theater,"Source: IMDB          But as you suggested last mail, the way we collect tweets won't include  #TheDUF, since there is no space"
The End of the Tour,No,No,Yes,,,No,No,Source: IMDB 
The Gallows,"Travis Cluff, Chris Lofing","Reese Mishler, Pfeifer Brown, Ryan Shoos",Yes,,,No,Yes,Source: IMDB 
The Gift (2015),Joel Edgerton," Jason Bateman, Rebecca Hall, Joel Edgerton ",Yes,,,No,Yes,Source: IMDB 
The Gunman,No,No,Yes,,,No,No,Source: IMDB 
The Hunting Ground,No,No,Yes,,,No,No,Source: IMDB 
The Lazarus Effect,No,No,Yes,,,No,No,Source: IMDB 
The Little Death,No,No,Yes,,,No,No,Source: IMDB 
The Living, Jack Bryan," Fran Kranz, Jocelin Donahue, Kenny Wormald",Yes,,,No,No,Source: IMDB 
The Longest Ride,No,No,Yes,,,No,No,Source: IMDB 
The Look of Silence,No,No,Yes,,,No,No,Source: IMDB 
The Mafia Only Kills in Summer,No,No,Yes,No,,No,No,Source: IMDB 
The Man From U.N.C.L.E.,No,No,Yes,,,No,No,Source: IMDB 
The Overnight,Patrick Brice,"Adam Scott, Taylor Schilling, Jason Schwartzman",Yes,,,No,Yes,Source: IMDB 
The Pardon, Tom Anton,"Jaime King, Jason Lewis, John Hawkes",Yes,,,No,Yes,Source: IMDB 
The Salt of the Earth,No,No,Yes,,,#saltoftheearth,No,Source: IMDB 
The Salvation,No,No,Yes,,the salvation army,No,No,Source: IMDB 
The Second Best Exotic Marigold Hotel,No,No,No,No,,No,No,Source: IMDB 
The Second Mother,No,No,Yes,,,No,Yes,Source: IMDB 
The Stanford Prison Experiment,No,No,Yes,,,No,No,Source: IMDB 
The Transporter Refueled,No,No,Yes,,,No,No,Source: IMDB 
The Tribe,Miroslav Slaboshpitsky,"Grigoriy Fesenko, Yana Novikova, Rosa Babiy",Yes,,,No,Yes,Source: IMDB 
The Vatican Tapes,No,No,Yes,,,No,No,Source: IMDB 
The Water Diviner,No,No,Yes,,"BMI Research,  _@BMIResearch",No,No,Source: IMDB 
The Wolfpack, Crystal Moselle," Bhagavan Angulo, Govinda Angulo, Jagadisa Angulo",Yes,,,No,Yes,Source: IMDB 
The Wrecking Crew,No,No,Yes,,,No,No,Source: IMDB 
The Young & Prodigious T.S. Spivet,No,No,Yes,,,No,No,Source: IMDB 
Tomorrowland,No,No,No,,,No,No,Source: IMDB 
Trainwreck,Judd Apatow,"Amy Schumer, Bill Hader, Brie Larson ",No,,,No,Yes,Source: IMDB 
Un Gallo con Muchos Huevos,No,No,Yes,,,No,No,Source: IMDB 
Unfinished Business,No,Vince Vaughn,Yes,,,No,Yes,Source: IMDB 
Vacation                           ,"John Francis Daley, Jonathan Goldstein"," Ed Helms, Christina Applegate, Skyler Gisondo",No,,,No,Yes,Source: IMDB 
War Room,No,No,Yes,,,No,No,Source: IMDB 
We Are Your Friends,No,No,Yes,,,No,No,Source: IMDB 
When Marnie Was There,No,No,Yes,,,No,No,Source: IMDB 
Where Hope Grows,Chris Dowling,"Kristoffer Polaha, David DeSanctis, Danica McKellar ",Yes,,,Yes,Yes,Source: IMDB 
While We're Young,Noah Baumbach,"Ben Stiller, Naomi Watts, Adam Driver",Yes, Warmth and Acidity,,No,Yes,Source: IMDB        Warmth and Acidity is some key words from critics
White God,Korn_l Mundrucz_,"Zs_fia Psotta, S_ndor Zs_t_r, Lili Horv_th ",Yes,,,No,Yes,Source: IMDB 
Wild Tales,No,No,Yes,"recommend, writing, directing",,"#Top5FirstViews, #wildtales",Yes,Source: IMDB 
Woman in Gold,Simon Curtis,"Helen Mirren, Ryan Reynolds, Daniel Br_hl ",Yes,,,No,Yes,Source: IMDB 
Z for Zachariah,No,No,Yes,,,No,No,Source: IMDB 
